Name,MS_FB,MS_FB_PARE,CITY_WIKIDATA,WIKIDATA,India-Outline-Data-Remaps_Boundary Name
khammam,country:in/state:ts/municipality:khammam,country:in/state:ts,Q1921496,Q58954692,Khammam Municipal Corporation area
kochi,country:in/state:kl/municipality:kochi,country:in/state:kl,Q1800,Q58954695,Kochi Municipal Corporation area
kolhapur,country:in/state:mh/municipality:kolhapur,country:in/state:mh,Q209698,Q58954697,Kolhapur Municipal Corporation area
kolkata,country:in/state:wb/municipality:kolkata,country:in/state:wb,Q1348,Q58954708,Kolkata Municipal Corporation area
kollam,country:in/state:kl/municipality:kollam,country:in/state:kl,Q321475,Q58954712,Kollam Municipal Corporation area
korba,country:in/state:ct/municipality:korba,country:in/state:ct,Q2008189,Q58954716,Nagar Nigam Korba area
kota,country:in/state:rj/municipality:kota,country:in/state:rj,Q330531,Q58954718,Kota Municipal Corporation area
kozhikode,country:in/state:kl/municipality:kozhikode,country:in/state:kl,Q28729,Q58954721,Kozhikode Corporation area
kurnool,country:in/state:ap/municipality:kurnool,country:in/state:ap,Q3635276,Q58954724,Kurnool Municipal Corporation area
latur,country:in/state:mh/municipality:latur,country:in/state:mh,Q61394,Q58954725,Latur Municipal Corporation area
Loni,country:in/state:up/municipality:loni,country:in/state:up,Q61436,Q58954729,Loni Nagar Palika Parishad area
lucknow,country:in/state:up/municipality:lucknow,country:in/state:up,Q47916,Q58954730,Lucknow Municipal Corporation area
ludhiana,country:in/state:pb/municipality:ludhiana,country:in/state:pb,Q200123,Q58954742,Ludhiana Municipal Corporation area
madurai,country:in/state:tn/municipality:madurai,country:in/state:tn,Q228405,Q58954746,Madurai Municipal Corporation area
Maheshtala,country:in/state:wb/municipality:maheshtala,country:in/state:wb,Q1807947,Q58954750,Maheshtala municipality
malegaon,country:in/state:mh/municipality:malegaon,country:in/state:mh,Q580965,Q58954752,Malegoan Municipal Corporation area
Mangalore,country:in/state:ka/municipality:mangalore,country:in/state:ka,Q127041,Q58954754,Mangalore City Corporation area
mathura,country:in/state:up/municipality:mathura,country:in/state:up,Q200311,Q58954756,Nagar Nigam Mathura Vrindavan area
mau,country:in/state:up/municipality:mau,country:in/state:up,Q493091,Q58954758,Maunath Bhanjan Municipal Council area
meerut,country:in/state:up/municipality:meerut,country:in/state:up,Q200237,Q58954761,Meerut Municipal Corporation area
Mira-Bhayandar,country:in/state:mh/municipality:mira-bhayandar,country:in/state:mh,Q1006343,Q58954763,Mira-Bhayandar Municipal Corporation area
mumbai,country:in/state:mh/municipality:mumbai,country:in/state:mh,Q1156,Q58954772,Brihanmumbai Municipal Corporation area
muzaffarnagar,country:in/state:up/municipality:muzaffarnagar,country:in/state:up,Q2768828,Q58954776,Muzaffarnagar Municipal Corporation area
muzaffarpur,country:in/state:br/municipality:muzaffarpur,country:in/state:br,Q1453196,Q58954780,Muzaffarnagar Municipal Corporation area
Mysore,country:in/state:ka/municipality:mysore,country:in/state:ka,Q10086,Q58954781,Mysore City Corporation area
nagpur,country:in/state:mh/municipality:nagpur,country:in/state:mh,Q1513,Q58954784,Nagpur Municipal Corporation area
nanded,country:in/state:mh/municipality:nanded,country:in/state:mh,Q855122,Q58954786,Nanded Waghala city Municipal Corporation area
nashik,country:in/state:mh/municipality:nashik,country:in/state:mh,Q200235,Q58954787,Nashik Municipal Corporation area
navi mumbai,country:in/state:mh/municipality:navi_mumbai,country:in/state:mh,Q61445,Q58954790,Navi Mumbai Municipal Corporation area
nellore,country:in/state:ap/municipality:nellore,country:in/state:ap,Q61434,Q58954793,Nellore Municipal Corporation area
nizamabad,country:in/state:ts/municipality:nizamabad,country:in/state:ts,Q41473,Q58954803,Nizamabad Municipal Corporation area
noida,country:in/state:up/municipality:noida,country:in/state:up,Q278204,Q58954807,Greater Noida Authority area
North Dumdum,country:in/state:wb/municipality:north-dumdum,country:in/state:wb,Q36752,Q58954811,North Dumdum municipality
Ozhukarai,country:in/territory:py/municipality:ozhukarai,country:in/territory:py,Q277708,Q58954815,Ozhukarai municipality
Panihati,country:in/state:wb/municipality:panihati,country:in/state:wb,Q1801463,Q58954816,Panihati municipality
panipat,country:in/state:hr/municipality:panipat,country:in/state:hr,Q139706,Q58954817,Municipal Corporation Panipat area
parbhani,country:in/state:mh/municipality:parbhani,country:in/state:mh,Q1920284,Q58954818,Parbhani city Municipal Corporation area
patiala,country:in/state:pb/municipality:patiala,country:in/state:pb,Q208162,Q58954820,Municipal Corporation Patiala area
patna,country:in/state:br/municipality:patna,country:in/state:br,Q80484,Q58954821,Patna Municipal Corporation area
Pimpri-Chinchwad,country:in/state:mh/municipality:pimpri-chinchwad,country:in/state:mh,Q119219,Q58954827,Pimpri-Chinchwad Municipal Corporation area
pune,country:in/state:mh/municipality:pune,country:in/state:mh,Q1538,Q58954831,Pune Municipal Corporation area
purnia,country:in/state:br/municipality:purnia,country:in/state:br,Q1771762,Q58954834,Purnea Municipal Corporation area
raipur,country:in/state:ct/municipality:raipur,country:in/state:ct,Q372773,Q58954837,Raipur Municipal Corporation area
rajahmundry,country:in/state:ap/municipality:rajahmundry,country:in/state:ap,Q1639492,Q58954839,Rajamahendravaram Municipal Corporation area
rajkot,country:in/state:gj/municipality:rajkot,country:in/state:gj,Q11854,Q58954841,Rajkot Municipal Corporation area
Rajpur Sonarpur,country:in/state:wb/municipality:rajpur-sonarpur,country:in/state:wb,Q261988,Q58954842,Rajpur Sonarpur municipality
rampur,country:in/state:up/municipality:rampur,country:in/state:up,Q1487593,Q58954844,Rampur Municipal Corporation area
ranchi,country:in/state:jh/municipality:ranchi,country:in/state:jh,Q174461,Q58954847,Ranchi Municipal Corporation area
ratlam,country:in/state:mp/municipality:ratlam,country:in/state:mp,Q652376,Q58954854,Ratlam Municipal Corporation area
rohtak,country:in/state:hr/municipality:rohtak,country:in/state:hr,Q1453180,Q58954858,Municipal Corporation Rothak area
rourkela,country:in/state:od/municipality:rourkela,country:in/state:od,Q1012706,Q58954862,Rourkela Municipal Corporation area
sagar,country:in/state:mp/municipality:sagar,country:in/state:mp,Q1006355,Q58954866,Sagar Municipal Corporation area
saharanpur,country:in/state:up/municipality:saharanpur,country:in/state:up,Q242895,Q58954868,Saharanpur Nagar Nigam area
salem,country:in/state:tn/municipality:salem,country:in/state:tn,Q9863,Q58954871,Salem City Municipal Corporation area
sambalpur,country:in/state:od/municipality:sambalpur,country:in/state:od,Q876483,Q58954874,Sambalpur Municipal Corporation area
sangli,country:in/state:mh/municipality:sangli,country:in/state:mh,Q882357,Q58954876,Sangli-Miraj & Kupwad Municipal Corporation area
satara,country:in/state:mh/municipality:satara,country:in/state:mh,Q581562,Q58954879,Satara Municipal Council area
satna,country:in/state:mp/municipality:satna,country:in/state:mp,Q58794,Q58954880,Municipal Corporation Satna area
shahjahanpur,country:in/state:up/municipality:shahjahanpur,country:in/state:up,Q2078241,Q58954884,Nagar Palika Parishad & Shahjahanpur area
shivamogga,country:in/state:ka/municipality:shivamogga,country:in/state:ka,Q281796,Q58954888,Shivamogga city Corporation area
siliguri,country:in/state:wb/municipality:siliguri,country:in/state:wb,Q5087,Q58954892,Siliguri Municipal Corporation area
solapur,country:in/state:mh/municipality:solapur,country:in/state:mh,Q237847,Q58954895,Solapur Municipal Corporation area
sonipat,country:in/state:hr/municipality:sonipat,country:in/state:hr,Q41561,Q58954897,Municipal Corporation Sonepat area
South Dumdum,country:in/state:wb/municipality:south-dumdum,country:in/state:wb,Q41538,Q58954905,South Dumdum municipality
srinagar,country:in/state:uk/municipality:srinagar,country:in/state:uk,Q170115,Q58954908,Srinagar Municipal Corporation area
surat,country:in/state:gj/municipality:surat,country:in/state:gj,Q4629,Q58954910,Surat Municipal Corporation area
thane,country:in/state:mh/municipality:thane,country:in/state:mh,Q207749,Q58954912,Thane Municipal Corporation area
thiruvananthapuram,country:in/state:kl/municipality:thiruvananthapuram,country:in/state:kl,Q167715,Q58954916,Thiruvananthapuram Corporation area
thrissur,country:in/state:kl/municipality:thrissur,country:in/state:kl,Q163798,Q58954919,Thrissur Municipal Corporation area
tiruchirappalli,country:in/state:tn/municipality:tiruchirappalli,country:in/state:tn,Q207754,Q58954923,Tiruchirapalli City Municipal Corporation area
tirunelveli,country:in/state:tn/municipality:tirunelveli,country:in/state:tn,Q213248,Q58954926,Tirunelveli city Municipal Corporation area
tirupati,country:in/state:ap/municipality:tirupati,country:in/state:ap,Q1436816,Q58954928,Tirupati Municipal Corporation area
tiruppur,country:in/state:tn/municipality:tiruppur,country:in/state:tn,Q836527,Q58954936,Tiruppur Municipal Corporation area
tumakuru,country:in/state:ka/municipality:tumakuru,country:in/state:ka,Q911310,Q58954938,Tumkue City Corporation area
udaipur,country:in/state:rj/municipality:udaipur,country:in/state:rj,Q200340,Q58954940,Udaipur Municipal Corporation area
ujjain,country:in/state:mp/municipality:ujjain,country:in/state:mp,Q200119,Q58954942,Ujjain Municipal Corporation area
Ulhasnagar,country:in/state:mh/municipality:ulhasnagar,country:in/state:mh,Q460222,Q58954946,Ulhasnagar Municipal Corporation area
vadodara,country:in/state:gj/municipality:vadodara,country:in/state:gj,Q11909,Q58954949,Vadodara Municipal Corporation area
varanasi,country:in/state:up/municipality:varanasi,country:in/state:up,Q79980,Q58954953,Varanasi Municipal Corporation area
Vasai-Virar,country:in/state:mh/municipality:vasai-virar,country:in/state:mh,Q580876,Q58954955,Vasai-Virar City Municipal Corporation area
vijayawada,country:in/state:ap/municipality:vijayawada,country:in/state:ap,Q200017,Q58954959,Vijayawada Municipal Corporation area
visakhapatnam,country:in/state:ap/municipality:visakhapatnam,country:in/state:ap,Q200016,Q58954967,Greater Visakhapatnam Municipal Corporation area
warangal,country:in/state:ts/municipality:warangal,country:in/state:ts,Q213077,Q58954970,Greater Warangal Municipal Corporation area
